jos19gr|38|0|108|10|José  Guarnizo|Tue Dec 13 02:05:02 +0000 2016 
clisethar|3|0|13|12|Carla Alvarez|Sun Nov 12 20:27:14 +0000 2017 
diegoacuario|516|4|1275|119|Diego Romero Armijos|Wed Sep 16 14:19:08 +0000 2009 
DisenosDeFiesta|34080|11|24214|21|Diseños De Fiestas|Sat Feb 04 05:34:28 +0000 2017 
IDichoDeMujeres|103372|67|96768|32|Dichos De Mujeres|Fri Dec 30 17:54:05 +0000 2016 
TattoAdict|30528|31|26687|31|Tatto Adict⚠️|Tue Jan 10 23:34:21 +0000 2017 
AmorSabio_|299317|206|220160|1393|AMOR SABIO|Mon Feb 28 14:10:57 +0000 2011 
